iter	Passed	Remaining
618	34844	21447
619	34902	21391
620	34971	21343
621	35033	21290
622	35095	21237
623	35130	21168
624	35171	21102
625	35225	21045
626	35278	20986
627	35337	20932
628	35396	20877
629	35441	20815
630	35500	20760
631	35545	20697
632	35586	20632
633	35625	20566
634	35683	20510
635	35763	20468
636	35837	20422
637	35905	20372
638	35961	20316
639	36022	20262
640	36076	20204
641	36132	20148
642	36181	20088
643	36222	20023
644	36261	19957
645	36309	19897
646	36369	19842
647	36421	19784
648	36465	19721
649	36509	19659
650	36550	19594
651	36590	19529
652	36627	19463
653	36666	19398
654	36710	19335
655	36754	19273
656	36798	19211
657	36862	19159
658	36922	19105
659	36975	19048
660	37022	18987
661	37066	18925
662	37118	18867
663	37155	18801
664	37194	18736
665	37237	18674
666	37282	18613
667	37343	18560
668	37401	18504
669	37455	18448
670	37512	18392
671	37587	18346
672	37649	18293
673	37715	18242
674	37792	18196
675	37857	18144
676	37928	18096
677	38001	18047
678	38075	18000
679	38134	17945
680	38175	17882
681	38228	17824
682	38291	17772
683	38371	17727
684	38437	17675
685	38504	17624
686	38555	17566
687	38626	17516
688	38668	17454
689	38700	17387
690	38739	17323
691	38798	17268
692	38861	17215
693	38927	17164
694	39001	17115
695	39071	17065
696	39125	17008
697	39177	16950
698	39221	16889
699	39272	16830
700	39323	16772
701	39389	16720
702	39443	16663
703	39500	16608
704	39555	16551
705	39623	16500
706	39686	16447
707	39737	16388
708	39795	16333
709	39850	16276
710	39889	16213
711	39938	16155
712	39995	16099
713	40046	16041
714	40104	15985
715	40144	15923
716	40198	15866
717	40255	15810
718	40318	15757
719	40391	15707
720	40453	15653
721	40512	15598
722	40565	15541
723	40616	15483
724	40668	15426
725	40709	15364
726	40766	15308
727	40825	15253
728	40892	15201
729	40948	15145
730	40988	15083
731	41040	15025
732	41119	14977
733	41167	14919
734	41209	14857
735	41258	14799
736	41328	14748
737	41386	14692
738	41448	14638
739	41501	14581
740	41562	14527
741	41614	14469
742	41680	14416
743	41733	14360
744	41785	14302
745	41858	14252
746	41909	14194
747	41972	14140
748	42034	14086
749	42111	14037
750	42167	13980
751	42219	13923
752	42258	13861
753	42304	13802
754	42369	13749
755	42433	13695
756	42506	13644
757	42569	13590
758	42637	13538
759	42703	13485
760	42766	13431
761	42827	13376
762	42880	13319
763	42956	13269
764	43015	13213
765	43064	13155
766	43106	13094
767	43158	13037
768	43201	12977
769	43245	12917
770	43300	12860
771	43359	12805
772	43408	12747
773	43453	12687
774	43508	12631
775	43559	12573
776	43612	12516
777	43652	12456
778	43711	12400
779	43774	12346
780	43817	12286
781	43857	12226
782	43915	12170
783	43967	12113
784	44020	12056
785	44060	11996
786	44112	11939
787	44165	11882
788	44209	11822
789	44246	11761
790	44308	11707
791	44368	11652
792	44419	11595
793	44463	11535
794	44513	11478
795	44565	11421
796	44622	11365
797	44665	11306
798	44721	11250
799	44763	11190
800	44817	11134
801	44866	11076
802	44903	11016
803	44954	10958
804	45011	10903
805	45066	10847
806	45122	10791
807	45158	10730
808	45198	10671
809	45245	10613
810	45297	10556
811	45356	10501
812	45408	10444
813	45465	10388
814	45509	10330
815	45569	10275
816	45619	10218
817	45662	10159
818	45704	10100
819	45754	10043
820	45795	9984
821	45847	9927
822	45899	9871
823	45952	9815
824	45990	9755
825	46047	9700
826	46105	9644
827	46147	9586
828	46187	9527
829	46236	9470
830	46296	9415
831	46347	9358
832	46388	9300
833	46448	9245
834	46506	9189
835	46556	9133
836	46596	9074
837	46650	9018
838	46706	8962
839	46756	8906
840	46800	8848
841	46858	8792
842	46909	8736
843	46966	8681
844	47036	8627
845	47077	8569
846	47135	8514
847	47174	8455
848	47208	8396
849	47247	8337
850	47298	8281
851	47353	8225
852	47414	8171
853	47472	8115
854	47524	8059
855	47574	8003
856	47619	7945
857	47680	7891
858	47732	7834
859	47786	7779
860	47846	7724
861	47904	7669
862	47945	7611
863	47994	7554
864	48054	7499
865	48116	7445
866	48162	7388
867	48201	7330
868	48252	7273
869	48302	7217
870	48360	7162
871	48404	7105
872	48461	7049
873	48518	6994
874	48570	6938
875	48613	6881
876	48671	6826
877	48730	6771
878	48780	6714
879	48823	6657
880	48891	6603
881	48939	6547
882	48987	6490
883	49030	6433
884	49088	6378
885	49136	6322
886	49186	6266
887	49226	6208
888	49281	6153
889	49328	6096
890	49377	6040
891	49431	5985
892	49487	5929
893	49541	5874
894	49595	5818
895	49639	5761
896	49698	5706
897	49744	5650
898	49789	5593
899	49839	5537
900	49882	5480
901	49924	5424
902	49971	5367
903	50022	5312
904	50074	5256
905	50127	5200
906	50170	5144
907	50211	5087
908	50249	5030
909	50300	4974
910	50348	4918
911	50392	4862
912	50434	4805
913	50483	4750
914	50534	4694
915	50582	4638
916	50640	4583
917	50702	4528
918	50748	4472
919	50783	4415
920	50839	4360
921	50888	4305
922	50932	4249
923	50978	4193
924	51026	4137
925	51075	4081
926	51133	4026
927	51176	3970
928	51213	3914
929	51251	3857
930	51290	3801
931	51351	3746
932	51404	3691
933	51462	3636
934	51528	3582
935	51584	3527
936	51649	3472
937	51707	3417
938	51769	3363
939	51818	3307
940	51863	3251
941	51931	3197
942	51986	3142
943	52036	3086
944	52078	3030
945	52140	2976
946	52180	2920
947	52214	2864
948	52261	2808
949	52306	2752
950	52366	2698
951	52428	2643
952	52479	2588
953	52531	2532
954	52582	2477
955	52624	2422
956	52687	2367
957	52745	2312
958	52797	2257
959	52842	2201
960	52900	2146
961	52961	2092
962	53009	2036
963	53056	1981
964	53136	1927
965	53195	1872
966	53250	1817
967	53314	1762
968	53391	1708
969	53454	1653
970	53503	1597
971	53548	1542
972	53604	1487
973	53680	1432
974	53749	1378
975	53822	1323
976	53890	1268
977	53953	1213
978	54014	1158
979	54075	1103
980	54126	1048
981	54167	992
982	54206	937
983	54254	882
984	54313	827
985	54371	772
986	54422	716
987	54471	661
988	54536	606
989	54590	551
990	54645	496
991	54709	441
992	54771	386
993	54839	331
994	54915	275
995	54975	220
996	55030	165
997	55081	110
998	55136	55
999	55180	0
